source	target	weight
CSNK1E	CSNK1D	0.9732
PAK3	PAK1	0.9643
PRKX	PRKY	0.9585
PRKACA	PRKACB	0.9569
STK4	STK3	0.9563
MARK3	MARK1	0.9524
CSNK1G1	CSNK1G3	0.9504
MAPK10	MAPK8	0.9493
MARK1	MARK2	0.9484
MARK3	MARK2	0.9444
BRSK2	BRSK1	0.9444
TLK2	TLK1	0.9427
PRKD3	PRKD1	0.9416
CSNK1G2	CSNK1G3	0.9389
CDK8	CDK19	0.9367
CSNK1G2	CSNK1G1	0.9354
CAMK2A	CAMK2D	0.9344
ABL2	ABL1	0.9325
PAK1	PAK2	0.9325
ADRBK2	ADRBK1	0.9316
MAST4	MAST2	0.9286
MAST4	MAST1	0.9286
HIPK1	HIPK2	0.9271
WNK3	WNK1	0.9266
CAMK2G	CAMK2D	0.9266
MAP4K4	MINK1	0.9245
RPS6KA3	RPS6KA1	0.9231
PRKD1	PRKD2	0.9222
ROCK2	ROCK1	0.9202
CSNK1A1	CSNK1A1L	0.9195
CAMK2G	CAMK2B	0.9189
RPS6KA6	RPS6KA3	0.9186
CDK13	CDK12	0.9184
TNIK	MAP4K4	0.917
PAK3	PAK2	0.9167
MAST3	MAST4	0.916
CAMK2B	CAMK2A	0.9151
CAMK2B	CAMK2D	0.9151
AKT1	AKT2	0.9147
MARK4	MARK3	0.9127
GSK3B	GSK3A	0.9123
STK38L	STK38	0.9116
WNK2	WNK3	0.9112
CAMK2G	CAMK2A	0.9112
PRKD3	PRKD2	0.9105
MAST2	MAST1	0.9088
EPHB2	EPHB1	0.9077
WNK2	WNK1	0.9073
RPS6KA3	RPS6KA2	0.9038
ACVR1B	TGFBR1	0.9028
TNIK	MINK1	0.9019
PRKAA2	PRKAA1	0.9012
MARK4	MARK2	0.9008
EPHB1	EPHB3	0.9
RPS6KA1	RPS6KA2	0.9
TAOK1	TAOK2	0.8976
EPHB2	EPHB3	0.8962
PRKCA	PRKCB	0.8958
MAST3	MAST2	0.8942
STK24	STK25	0.8924
SRC	YES1	0.8916
EPHA3	EPHA5	0.8911
OXSR1	STK39	0.8909
MAPK1	MAPK3	0.8893
MARK4	MARK1	0.8889
MST4	STK24	0.8884
FGFR2	FGFR3	0.8881
RPS6KA6	RPS6KA2	0.8876
AKT3	AKT1	0.8876
PRKCI	PRKCZ	0.8876
TAOK3	TAOK1	0.8858
NEK7	NEK6	0.8849
CSNK2A1	CSNK2A2	0.8846
FGFR1	FGFR2	0.8845
MAST3	MAST1	0.8832
TTBK2	TTBK1	0.8828
MAP3K2	MAP3K3	0.8812
CDC42BPA	CDC42BPB	0.8801
RPS6KA6	RPS6KA1	0.8798
EPHA5	EPHA4	0.8794
HIPK2	HIPK3	0.8784
EPHB3	EPHB4	0.8769
MAP3K7	MAP3K5	0.8769
AKT3	AKT2	0.876
ICK	MAK	0.8754
MAPK9	MAPK10	0.875
PKN2	PKN1	0.8731
MST4	STK25	0.8725
MAP3K13	MAP3K12	0.8708
YES1	FYN	0.868
CLK1	CLK4	0.8675
MAP2K1	MAP2K2	0.8673
MAP2K6	MAP2K3	0.8664
EPHB1	EPHB4	0.8654
EPHA3	EPHA4	0.8638
PRKACG	PRKACA	0.8627
HIPK1	HIPK3	0.8602
MAPK9	MAPK8	0.8581
PAK6	PAK4	0.8571
AURKC	AURKB	0.8566
MAP4K3	MAP4K5	0.8566
FGFR1	FGFR3	0.8556
BMPR1B	BMPR1A	0.8542
EPHA6	EPHA4	0.8521
EPHA5	EPHA7	0.8521
EPHA4	EPHA7	0.8521
DYRK1A	DYRK1B	0.8505
LATS2	LATS1	0.8497
EPHA6	EPHA3	0.8482
EPHA6	EPHA5	0.8482
EPHA4	EPHB2	0.8482
NTRK2	NTRK3	0.8476
EPHB2	EPHB4	0.8462
CAMK1	CAMK1D	0.8444
WNK1	WNK4	0.8417
EPHA3	EPHA7	0.8405
CDK16	CDK17	0.8369
ACVR1C	TGFBR1	0.8368
EPHA6	EPHA7	0.8366
TIE1	TEK	0.8364
RPS6KB1	RPS6KB2	0.8359
DAPK1	DAPK3	0.8327
PRKACG	PRKACB	0.8314
SRC	FYN	0.8313
ACVR1C	ACVR1B	0.8299
EPHA5	EPHB2	0.8288
EPHA7	EPHB2	0.8288
TSSK1B	TSSK2	0.8276
TAOK3	TAOK2	0.8268
WNK3	WNK4	0.8263
EPHA4	EPHB1	0.821
EPHA4	EPHB3	0.821
IGF1R	INSR	0.8209
NUAK1	NUAK2	0.8207
RAF1	BRAF	0.8192
CDK17	CDK18	0.8191
PRKCG	PRKCB	0.8185
ERBB2	EGFR	0.8178
EPHA3	EPHB2	0.8132
EPHA5	EPHB3	0.8132
LYN	HCK	0.8127
WNK2	WNK4	0.8108
PRKCG	PRKCA	0.8108
BMP2K	AAK1	0.8106
EPHA5	EPHB1	0.8093
EPHA3	EPHB3	0.8093
FGFR3	FGFR4	0.8087
DAPK3	DAPK2	0.8061
SIK2	SIK1	0.8056
EPHA7	EPHB1	0.8054
DAPK1	DAPK2	0.8023
EPHA7	EPHB3	0.8016
EPHA3	EPHB1	0.7977
MAP3K5	MAP3K6	0.7977
GRK5	GRK4	0.7947
EPHA6	EPHB2	0.7946
CDK16	CDK18	0.7943
LTK	ALK	0.7926
INSRR	IGF1R	0.7926
FGR	FYN	0.792
ACVR2A	ACVR2B	0.7917
ACVR1	ACVRL1	0.7917
EPHA6	EPHB3	0.7907
DYRK2	DYRK3	0.7898
MKNK2	MKNK1	0.7895
FGR	YES1	0.788
CDK2	CDK3	0.788
FGR	SRC	0.7871
GRK6	GRK4	0.7871
ULK1	ULK2	0.7871
EGFR	ERBB4	0.7868
EPHA6	EPHB1	0.7868
EPHA4	EPHB4	0.786
CSNK1D	CSNK1A1	0.7816
MAP3K11	MAP3K9	0.7808
TRPM6	TRPM7	0.7808
FGFR2	FGFR4	0.7798
GRK6	GRK5	0.7795
CSNK1E	CSNK1A1	0.7778
STK10	SLK	0.7761
EPHA8	EPHA6	0.7752
SGK1	SGK3	0.7752
MAPKAPK3	MAPKAPK2	0.7739
NTRK2	NTRK1	0.7732
KIAA1804	MAP3K11	0.7731
LCK	HCK	0.7729
FGFR1	FGFR4	0.7726
INSRR	INSR	0.7724
ERBB2	ERBB4	0.7713
EPHA6	EPHB4	0.7713
NTRK3	NTRK1	0.7712
EPHA8	EPHA5	0.7704
EPHA3	EPHB4	0.7704
EPHA7	EPHB4	0.7704
KIAA1804	MAP3K9	0.7692
PRKCE	PRKCH	0.7692
PRKCD	PRKCQ	0.7686
DCLK2	DCLK1	0.7674
PIM3	PIM1	0.7659
MAP3K10	MAP3K11	0.7654
SGK3	SGK2	0.7636
EPHA8	EPHA4	0.7626
PDK3	PDK1	0.76
EPHA2	EPHA3	0.7588
EPHA8	EPHA7	0.7588
EPHA5	EPHB4	0.7588
PDK4	PDK2	0.7581
PDK2	PDK3	0.7581
MAP3K10	MAP3K9	0.7577
MAP3K7	MAP3K6	0.7577
CAMK1D	CAMK1G	0.7569
SGK1	SGK2	0.7558
EPHA2	EPHA5	0.7549
EPHA2	EPHA4	0.7549
CDC42BPA	CDC42BPG	0.7528
MYO3A	MYO3B	0.7528
PDK4	PDK1	0.752
HCK	BLK	0.752
MAPK11	MAPK14	0.7509
PDK2	PDK1	0.75
CDC42BPB	CDC42BPG	0.7491
LCK	LYN	0.749
MAP4K2	MAP4K3	0.7481
EPHA8	EPHA3	0.7471
AURKB	AURKA	0.745
MAPK12	MAPK7	0.744
RPS6KA4	RPS6KA5	0.7435
EPHA2	EPHA7	0.7432
MAP3K10	KIAA1804	0.7423
MYLK4	MYLK3	0.7422
MAP4K2	MAP4K5	0.7403
ARAF	RAF1	0.7368
EPHA8	EPHB3	0.7364
PSKH2	PSKH1	0.7364
PDK4	PDK3	0.736
CSNK1D	CSNK1A1L	0.7356
STK32B	STK32C	0.7356
EPHA2	EPHA6	0.7354
EPHA2	EPHB1	0.7354
SIK3	SIK2	0.7341
STK32A	STK32B	0.7336
AURKC	AURKA	0.7331
CSNK1E	CSNK1A1L	0.7318
TBK1	IKBKE	0.7297
CDKL1	CDKL4	0.7279
EPHA2	EPHB2	0.7276
KDR	FLT1	0.7248
CDK4	CDK6	0.7247
LCK	BLK	0.724
ARAF	BRAF	0.7237
TRIB2	TRIB1	0.7224
CAMK1	CAMK1G	0.7216
LIMK1	LIMK2	0.7208
EPHA2	EPHB3	0.7198
MAPK13	MAPK12	0.7183
LYN	BLK	0.716
CDK14	CDK15	0.7158
DMPK	CDC42BPA	0.7154
PNCK	CAMK1D	0.7148
EPHA8	EPHB2	0.7132
SRPK3	SRPK2	0.713
STK35	PDIK1L	0.7125
YES1	HCK	0.712
PNCK	CAMK1	0.7109
PRKG2	PRKG1	0.7104
NPR2	NPR1	0.7101
MERTK	AXL	0.7094
PHKG2	PHKG1	0.709
CLK2	CLK3	0.7069
EPHA8	EPHB1	0.7054
DMPK	CDC42BPB	0.7041
PKN1	PKN3	0.7038
TESK2	TESK1	0.7012
DDR2	DDR1	0.7003
FYN	HCK	0.7
PKN2	PKN3	0.7
STK32A	STK32C	0.6988
